date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max
1990-04-08 18:30:00+00:00,33.8455,21.1955,27.3705,36.094288,23.109772,28.697924,44447.516,0.0,0.0,10.691453
1990-04-09 18:30:00+00:00,31.4455,22.6955,27.243414,35.342236,25.174717,29.219414,44490.05,0.6,3.0,11.440978
1990-04-10 18:30:00+00:00,31.845499,22.6955,27.668417,35.025105,25.179335,29.634851,44532.44,0.0,0.0,9.511088
1990-04-11 18:30:00+00:00,32.1455,23.4455,27.935081,34.218338,26.015297,29.762491,44574.676,0.0,0.0,8.350138
1990-04-12 18:30:00+00:00,35.5955,22.4455,29.168413,37.132133,24.10949,30.042883,44616.71,0.0,0.0,9.36
1990-04-13 18:30:00+00:00,34.995502,22.9455,28.287169,36.14058,23.819347,29.352869,44658.516,1.6,3.0,10.086427
1990-04-14 18:30:00+00:00,35.445503,21.6455,27.082998,38.478363,24.140358,29.32766,44700.066,3.9,6.0,15.7908325
1990-04-15 18:30:00+00:00,33.6455,21.0455,26.797583,36.681137,24.394276,28.920778,44741.33,0.90000004,3.0,13.276144
1990-04-16 18:30:00+00:00,32.5455,21.7455,25.980913,36.460155,24.416073,28.802603,44782.266,3.5,5.0,9.686609
1990-04-17 18:30:00+00:00,33.8455,20.4455,27.243416,35.724007,23.467388,28.742874,44822.848,0.0,0.0,9.290511
1990-04-18 18:30:00+00:00,32.745502,21.595499,25.993416,36.169308,23.053852,28.29248,44863.047,7.3999996,6.0,10.587918
1990-04-19 18:30:00+00:00,34.0455,21.4455,27.212168,34.10058,24.05993,28.200968,44902.816,0.0,0.0,16.299694
1990-04-20 18:30:00+00:00,33.0955,20.2955,26.570498,34.43028,22.509037,27.483047,44942.152,0.0,0.0,13.779114
1990-04-21 18:30:00+00:00,33.7955,20.0455,27.155916,34.786022,22.433916,27.988832,44981.31,0.0,0.0,10.703569
1990-04-22 18:30:00+00:00,34.945503,20.9455,28.312164,37.2699,22.772654,29.181227,45020.37,0.0,0.0,7.5170207
1990-04-23 18:30:00+00:00,35.3455,21.4955,29.093416,36.83081,22.959724,29.531466,45059.31,0.0,0.0,10.44
1990-04-24 18:30:00+00:00,34.8955,22.595499,28.855913,35.847744,23.421497,29.039923,45098.094,0.0,0.0,11.988594
1990-04-25 18:30:00+00:00,35.745502,21.1955,28.470505,35.7546,22.597015,28.464075,45136.69,0.0,0.0,15.629971
1990-04-26 18:30:00+00:00,35.5955,20.9955,27.951744,35.102562,22.991222,28.064234,45175.08,0.0,0.0,14.332341
1990-04-27 18:30:00+00:00,34.695503,21.2955,27.728834,35.835716,23.86231,28.569305,45213.21,0.0,0.0,14.081477
1990-04-28 18:30:00+00:00,33.695503,21.7955,27.741333,36.44709,23.233965,28.871168,45251.07,0.0,0.0,10.514218
1990-04-29 18:30:00+00:00,33.945503,22.595499,27.882998,36.78379,24.900278,29.562408,45288.62,0.4,2.0,11.4862
1990-04-30 18:30:00+00:00,30.5455,21.2955,24.682999,34.449696,24.756533,28.084845,45325.824,21.7,12.0,7.7043357
1990-05-01 18:30:00+00:00,30.095499,20.845499,24.005915,36.121784,24.080507,27.931017,45362.652,15.700001,8.0,6.3690495
1990-05-02 18:30:00+00:00,29.7955,21.1455,24.4205,35.193653,24.541204,28.066774,45399.066,10.7,8.0,8.707237
1990-05-03 18:30:00+00:00,28.8955,20.5455,23.764254,34.518497,23.825932,27.610085,45435.04,13.5,8.0,10.30883
1990-05-04 18:30:00+00:00,30.595499,20.8955,24.789253,35.68785,24.398907,28.402178,45470.523,4.1,5.0,8.557102
1990-05-05 18:30:00+00:00,30.4955,20.595499,25.220495,33.281677,23.344898,27.516092,45505.5,0.2,1.0,15.281989
1990-05-06 18:30:00+00:00,28.5455,20.9955,24.07675,30.244495,23.08359,25.557114,45539.918,0.0,0.0,20.172853
1990-05-07 18:30:00+00:00,27.4455,20.7455,23.257998,27.986855,22.533892,24.606863,45573.754,0.0,0.0,17.10284
1990-05-08 18:30:00+00:00,30.6955,21.6455,24.58925,33.714832,22.986315,26.830559,45606.957,6.4,7.0,18.1041
1990-05-09 18:30:00+00:00,29.7455,21.5455,24.518417,32.904076,23.38279,26.803286,45639.5,4.7,9.0,20.5484
1990-05-10 18:30:00+00:00,28.5455,21.7955,24.620499,31.853367,23.970556,27.40332,45671.355,2.1,6.0,15.844089
1990-05-11 18:30:00+00:00,29.9455,21.2455,24.855917,33.236412,23.989542,27.876226,45702.754,0.70000005,4.0,10.966713
1990-05-12 18:30:00+00:00,28.7955,21.4955,24.945501,31.260616,24.284912,27.088736,45733.773,0.0,0.0,13.039754
1990-05-13 18:30:00+00:00,30.4955,21.6455,25.493418,32.6498,23.819311,27.094034,45764.38,0.0,0.0,13.202726
1990-05-14 18:30:00+00:00,30.6455,20.4455,25.351751,32.694027,22.590456,26.708162,45794.547,0.0,0.0,13.049689
1990-05-15 18:30:00+00:00,31.595499,19.845499,25.485079,33.40222,20.9365,26.16874,45824.246,0.0,0.0,15.893093
1990-05-16 18:30:00+00:00,31.3955,19.845499,25.289251,32.121914,20.378914,26.051514,45853.453,0.2,2.0,16.954432
1990-05-17 18:30:00+00:00,29.7955,20.8955,24.62883,32.346424,22.845692,26.646341,45882.125,2.8,2.0,18.671474
1990-05-18 18:30:00+00:00,29.8955,21.095499,24.803835,32.825054,22.940962,26.34789,45910.246,0.4,1.0,18.39878
1990-05-19 18:30:00+00:00,26.2455,21.2455,23.460083,26.772123,22.705265,24.458094,45937.777,0.5,2.0,19.164719
1990-05-20 18:30:00+00:00,25.4955,20.7955,23.110085,26.972948,22.249487,24.389452,45964.684,1.6000001,7.0,17.698677
1990-05-21 18:30:00+00:00,28.7455,20.3955,23.458,30.54168,21.657244,24.879698,45990.945,1.8000001,3.0,17.651016
1990-05-22 18:30:00+00:00,28.9455,21.0455,24.270498,31.017689,23.154762,26.256872,46016.527,3.0,4.0,18.079027
1990-05-23 18:30:00+00:00,28.9455,20.4455,23.493416,32.28644,22.844505,25.942507,46041.395,11.5,5.0,15.807239
1990-05-24 18:30:00+00:00,28.345499,20.7955,23.560083,31.660122,22.973808,26.114527,46065.516,13.200001,12.0,13.684735
1990-05-25 18:30:00+00:00,28.7955,20.2455,23.422585,31.819542,22.72631,25.561228,46088.867,0.70000005,3.0,15.175612
1990-05-26 18:30:00+00:00,27.345499,20.8955,23.391335,28.779457,22.504509,24.539024,46111.406,2.3999999,8.0,20.969805
1990-05-27 18:30:00+00:00,27.5455,20.4955,23.1705,29.291107,21.999529,24.272697,46133.094,1.3,4.0,22.392462
1990-05-28 18:30:00+00:00,27.345499,20.0455,23.464249,26.822851,20.246117,23.393988,46153.918,0.2,2.0,25.233406
1990-05-29 18:30:00+00:00,26.5455,21.2455,22.916334,27.199478,22.147984,23.554405,46173.836,3.6999998,11.0,24.693481
1990-05-30 18:30:00+00:00,28.095499,21.0455,24.005913,28.173218,22.021042,24.60067,46192.82,0.0,0.0,26.882141
1990-05-31 18:30:00+00:00,29.4455,20.595499,24.303831,30.847866,22.550133,25.641085,46211.02,0.8,2.0,18.556595
1990-06-01 18:30:00+00:00,29.345499,20.0455,24.503836,30.04243,21.609863,25.256804,46228.484,0.1,1.0,21.26744
1990-06-02 18:30:00+00:00,29.7455,20.7455,24.489252,31.117424,22.24731,25.608229,46245.2,0.8,2.0,20.724247
1990-06-03 18:30:00+00:00,28.7955,20.5455,23.914251,30.363052,22.309647,24.991783,46261.15,2.8,2.0,22.033648
1990-06-04 18:30:00+00:00,29.4455,20.095499,23.830915,31.400715,21.389412,24.95196,46276.32,1.5,4.0,21.413193
1990-06-05 18:30:00+00:00,28.6955,19.6455,23.914251,30.356247,20.790085,25.09684,46290.69,0.2,1.0,18.416384
1990-06-06 18:30:00+00:00,29.4455,19.7955,23.922583,31.872349,21.502964,25.384697,46304.254,1.3,4.0,19.09358
1990-06-07 18:30:00+00:00,29.2955,20.095499,23.539248,31.06511,21.606283,24.653574,46316.99,3.9,3.0,19.09358
1990-06-08 18:30:00+00:00,28.1955,20.6455,23.412169,28.930996,20.940195,23.952347,46328.89,0.4,2.0,22.782625
1990-06-09 18:30:00+00:00,28.5455,19.9955,23.630915,29.349148,21.079224,24.038157,46339.93,0.0,0.0,22.862125
1990-06-10 18:30:00+00:00,25.6955,20.0455,21.949669,25.534718,20.854942,22.240095,46350.1,3.8000002,11.0,25.651104
1990-06-11 18:30:00+00:00,22.6955,20.3955,21.135084,24.030083,21.343393,22.478933,46359.395,10.600001,14.0,22.380884
1990-06-12 18:30:00+00:00,26.4455,20.2955,22.547583,27.562834,21.44029,23.647264,46367.79,6.2999997,12.0,22.26477
1990-06-13 18:30:00+00:00,28.2955,21.4455,23.753836,29.596577,22.584925,24.805742,46375.27,1.2,4.0,23.241617
1990-06-14 18:30:00+00:00,26.845499,20.8955,22.799667,28.319199,21.666735,23.836348,46381.83,3.2999997,5.0,20.696085
1990-06-15 18:30:00+00:00,28.095499,20.5455,23.008003,29.201126,21.38147,23.624222,46387.453,2.8000002,8.0,22.725668
1990-06-16 18:30:00+00:00,26.5455,20.0455,22.524666,26.064367,20.181633,22.56289,46392.125,2.2,9.0,27.381308
1990-06-17 18:30:00+00:00,29.095499,20.7955,23.897581,29.409824,21.634491,24.147964,46395.836,0.3,1.0,27.153164
1990-06-18 18:30:00+00:00,29.2455,20.8955,24.022581,29.907463,21.441582,24.090357,46398.574,0.2,1.0,28.227306
1990-06-19 18:30:00+00:00,28.6455,20.595499,23.924667,28.507729,20.89861,24.033278,46400.32,0.3,1.0,26.67889
1990-06-20 18:30:00+00:00,27.5455,20.845499,23.524664,27.994411,21.563713,23.987793,46401.086,0.5,3.0,24.130743
1990-06-21 18:30:00+00:00,26.7955,20.3955,23.303833,26.217426,21.194042,23.451605,46400.88,0.2,2.0,25.223133
1990-06-22 18:30:00+00:00,28.6955,20.6455,24.089249,28.665405,21.690208,24.243849,46399.707,0.1,1.0,24.57511
1990-06-23 18:30:00+00:00,28.2455,19.8955,23.59342,27.977276,20.646698,23.566498,46397.582,0.0,0.0,23.828083
1990-06-24 18:30:00+00:00,27.595499,19.6455,22.701752,27.459187,20.045956,22.977692,46394.508,2.9,3.0,23.828083
1990-06-25 18:30:00+00:00,27.2455,20.4455,23.247583,27.289642,21.04842,23.470194,46390.504,0.3,2.0,24.387177
1990-06-26 18:30:00+00:00,28.2455,21.0455,23.228836,28.694347,21.939583,23.960524,46385.58,4.7999997,3.0,24.693481
1990-06-27 18:30:00+00:00,26.6955,20.7955,23.376749,26.699093,21.565075,23.608564,46379.74,0.3,2.0,24.269983
1990-06-28 18:30:00+00:00,27.7955,20.7455,23.247587,27.45145,21.474781,23.36302,46373.0,1.2,4.0,24.923338
1990-06-29 18:30:00+00:00,26.8955,20.1455,23.043417,25.703926,20.379177,22.730154,46365.37,0.5,5.0,28.410364
1990-06-30 18:30:00+00:00,27.3955,19.8955,22.962168,26.876892,19.858833,22.506208,46356.867,0.6,4.0,29.69727
1990-07-01 18:30:00+00:00,27.1955,20.5455,23.014252,26.138107,20.677462,22.736374,46347.5,0.1,1.0,28.410364
1990-07-02 18:30:00+00:00,26.9455,20.1955,22.578835,26.380041,20.33236,22.501123,46337.28,1.5,7.0,27.869207
1990-07-03 18:30:00+00:00,27.1455,20.0455,23.066332,26.466667,20.55796,23.065536,46326.223,1.0,1.0,27.645092
1990-07-04 18:30:00+00:00,27.9455,19.9455,22.88508,28.841404,20.951183,23.679575,46314.332,3.6000001,4.0,22.314194
1990-07-05 18:30:00+00:00,27.9455,19.6455,22.718416,30.638195,21.126942,24.256445,46301.633,5.1,3.0,16.746773
1990-07-06 18:30:00+00:00,26.595499,19.9955,22.049667,28.083157,21.791233,23.44256,46288.125,3.4,6.0,19.346441
1990-07-07 18:30:00+00:00,24.7955,19.845499,21.666336,24.479319,20.910185,22.285688,46273.836,0.5,3.0,23.34455
1990-07-08 18:30:00+00:00,26.9455,19.095499,22.099669,27.680677,20.47339,23.193048,46258.777,9.7,10.0,20.275385
1990-07-09 18:30:00+00:00,26.3955,19.4955,21.578835,27.769981,20.819635,22.96802,46242.938,15.1,13.0,21.746502
1990-07-10 18:30:00+00:00,25.3955,19.6455,21.053835,25.898071,20.697653,22.141663,46226.195,13.9,13.0,20.532627
1990-07-11 18:30:00+00:00,23.3955,19.1455,20.472582,23.564198,19.825779,21.163416,46208.508,14.8,20.0,20.674158
1990-07-12 18:30:00+00:00,25.3955,19.1955,21.414253,26.071144,19.662872,21.920494,46189.906,1.0,6.0,23.110207
1990-07-13 18:30:00+00:00,26.2455,19.1955,21.08925,26.490234,19.904305,21.733976,46170.42,9.000001,10.0,22.366402
1990-07-14 18:30:00+00:00,25.4455,19.5455,21.549667,25.599684,19.929695,21.994614,46150.09,1.2,6.0,23.535301
1990-07-15 18:30:00+00:00,25.845499,19.2955,21.941332,25.377697,19.99054,22.087034,46128.94,1.2,5.0,24.149532
1990-07-16 18:30:00+00:00,25.845499,20.0455,22.233,25.990723,20.510988,22.431086,46107.0,1.3,2.0,24.482647
1990-07-17 18:30:00+00:00,26.095499,19.6955,21.95175,26.120869,20.325695,22.439177,46084.3,3.0,5.0,22.3229
1990-07-18 18:30:00+00:00,26.1955,19.845499,21.960085,27.606497,20.685413,22.682678,46060.883,3.5000002,5.0,21.24305
1990-07-19 18:30:00+00:00,25.6455,19.095499,21.830917,25.142138,19.684565,21.90574,46036.76,2.5,6.0,24.216522
1990-07-20 18:30:00+00:00,24.4955,19.2955,21.470503,23.999794,19.738415,21.441587,46011.977,1.9000001,7.0,25.651104
1990-07-21 18:30:00+00:00,23.095499,18.7955,20.939253,22.307419,18.905169,20.607248,45986.555,1.0,3.0,25.582806
1990-07-22 18:30:00+00:00,25.3955,19.345499,21.918419,23.946766,19.246193,21.303553,45960.527,0.0,0.0,28.19285
1990-07-23 18:30:00+00:00,26.0455,19.595499,22.197584,25.395538,19.461119,21.683203,45933.92,0.70000005,4.0,26.319422
1990-07-24 18:30:00+00:00,26.6455,19.6455,22.722582,25.621014,19.715431,22.376112,45906.77,0.0,0.0,27.757376
1990-07-25 18:30:00+00:00,27.1455,19.6455,23.018417,26.741434,20.042683,22.911499,45879.098,0.0,0.0,23.565567
1990-07-26 18:30:00+00:00,27.7455,19.4955,23.299665,27.980858,20.27166,23.763422,45850.938,0.0,0.0,19.386591
1990-07-27 18:30:00+00:00,28.1955,18.8955,23.4955,28.75507,20.240978,24.240082,45822.316,0.0,0.0,18.36353
